Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
feminino	adj	feminino
,	punc	,
31	num	31
anos	n	ano
,	punc	,
com	prp	com
manifestações	n	manifestação
sistémicas	adj	sistémica
de	prp	de
doença	n	doença
de	prp	de
Behçet	prop	behçet
desde	prp	desde
há	v-fin	haver
um	num	um
ano	n	ano
(	punc	(
ulceração	n	ulceração
oral	adj	oral
e	conj-c	e
genital	adj	genital
recorrente	n	recorrente
,	punc	,
panuveíte	n	panuveíte
e	conj-c	e
teste	n	teste
patergia	adj	patergia
positivo	adj	positivo
)	punc	)
,	punc	,
inicia	v-fin	iniciar
cefaleia	n	cefaleia
fronto-parietal	adj	fronto-parietal
direita	n	direita
e	conj-c	e
diminuição	n	diminuição
de	prp	de
a	art	o
força	n	força
muscular	adj	muscular
de	prp	de
o	art	o
hemicorpo	n	hemicorpo
esquerdo	adj	esquerdo
de	prp	de
agravamento	n	agravamento
progressivo	adj	progressivo
.	punc	.
Em	prp	em
O	art	o
exame	n	exame
neurológico	adj	neurológico
apresentava	v-fin	apresentar
hemiparésia	n	hemiparésia
esquerda	adj	esquerdo
com	prp	com
envolvimento	n	envolvimento
facial	adj	facial
homolateral	adj	homolateral
e	conj-c	e
baixa	adj	baixo
acuidade	n	acuidade
visual	adj	visual
de	prp	de
o	art	o
olho	n	olho
esquerdo	adj	esquerdo
(	punc	(
doença	n	doença
inflamatória	adj	inflamatória
oftalmológica	adj	oftalmológica
activa	n	activa
e	conj-c	e
sequelar	n	sequelar
)	punc	)
.	punc	.
A	art	o
RM-CE	prop	rm-ce
mostrou	v-fin	mostrar
volumosa	adj	volumoso
lesão	n	lesão
expansiva	adj	expansivo
núcleo-talamocapsular	n	núcleo-talamocapsular
com	prp	com
extensão	n	extensão
a	prp	a
a	art	o
junção	n	junção
mesencefalo-diencefálica	adj	mesencefalo-diencefálica
e	conj-c	e
corona	v-fin	corar
radiata	adj	radiata
,	punc	,
exercendo	v-ger	exercer
discreto	adj	discreto
efeito	n	efeito
de	prp	de
massa	n	massa
.	punc	.
O	art	o
líquor	n	líquor
apresentava	v-fin	apresentar
características	n	característica
inflamatórias	adj	inflamatória
(	punc	(
48	num	48
células	n	célula
/	punc	/
mm3	num	mm3
,	punc	,
predomínio	n	predomínio
de	prp	de
linfócitos	n	linfócito
com	prp	com
padrão	n	padrão
policlonal	adj	policlonal
e	conj-c	e
79	num	79
mg	n	mg
/	punc	/
dL	n	dl
de	prp	de
proteínas	n	proteína
,	punc	,
normoglicorraquia	n	normoglicorraquia
e	conj-c	e
sedimento	n	sedimento
hipercelular	adj	hipercelular
sem	prp	sem
células	n	célula
atípicas	adj	atípica
)	punc	)
e	conj-c	e
as	art	o
culturas	n	cultura
foram	v-fin	ser
negativas	adj	negativo
.	punc	.
Dada	prp	dada
a	art	o
hipótese	n	hipótese
diagnóstica	adj	diagnóstica
de	prp	de
Neuro-	prop	neuro-
Behçet	prop	behçet
pseudo-tumoral	adj	pseudo-tumoral
iniciou	v-fin	iniciar
se	pron-pers	se
terapêutica	adj	terapêutica
imunossupressora	n	imunossupressora
com	prp	com
corticóides	n	corticóide
e	conj-c	e
ciclofosfamida	n	ciclofosfamida
intravenosa	adj	intravenoso
.	punc	.
Verificou	v-fin	verificar
se	pron-pers	se
franca	adj	franco
melhoria	n	melhoria
clínica	adj	clínica
e	conj-c	e
imagiológica	adj	imagiológica
.	punc	.
