Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
de	prp	de
55	num	55
anos	n	ano
,	punc	,
com	prp	com
quadro	n	quadro
de	prp	de
três	num	três
semanas	n	semana
de	prp	de
evolução	n	evolução
de	prp	de
disestesias	n	disestesia
de	prp	de
os	art	o
membros	n	membro
inferiores	adj	inferior
,	punc	,
seguindo	v-ger	seguir
se	pron-pers	se
alteração	n	alteração
de	prp	de
a	art	o
marcha	n	marcha
,	punc	,
desequilíbrio	n	desequilíbrio
sem	prp	sem
lado	n	lado
preferencial	adj	preferencial
e	conj-c	e
diplopia	adj	diplopia
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
apresentava	v-fin	apresentar
limitação	n	limitação
de	prp	de
a	art	o
abdução	n	abdução
de	prp	de
o	art	o
olho	n	olho
esquerdo	adj	esquerdo
,	punc	,
biparésia	n	biparésia
facial	adj	facial
,	punc	,
tetraparésia	prop	tetraparésia
com	prp	com
arreflexia	n	arreflexia
e	conj-c	e
ataxia	n	ataxia
de	prp	de
a	art	o
marcha	n	marcha
.	punc	.
O	art	o
estudo	n	estudo
de	prp	de
o	art	o
líquido	n	líquido
céfalo-raquidiano	adj	céfalo-raquidiano
revelou	v-fin	revelar
dissociação	n	dissociação
albumino-citológica	adj	albumino-citológica
.	punc	.
Os	art	o
estudos	n	estudo
de	prp	de
condução	n	condução
nervosa	adj	nervoso
e	conj-c	e
eletromiografia	adj	eletromiografia
suportavam	v-fin	suportar
a	prp	a
suspeita	n	suspeito
clínica	adj	clínica
de	prp	de
síndrome	n	síndrome
de	prp	de
Miller-Fisher	prop	miller-fisher
.	punc	.
A	art	o
investigação	n	investigação
etiológica	adj	etiológica
identificou	v-fin	identificar
infeção	n	infeção
VIH-1	prop	vih-1
.	punc	.
Realizou	v-fin	realizar
um	art	um
curso	n	curso
de	prp	de
imunoglobulina	n	imunoglobulina
endovenosa	adj	endovenoso
e	conj-c	e
iniciou	v-fin	iniciar
seguimento	n	seguimento
em	prp	em
consulta	n	consulta
de	prp	de
Doenças	prop	doenças
Infeciosas	punc	infeciosas
.	punc	.
