Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
,	punc	,
73	num	73
anos	n	ano
,	punc	,
recorre	v-fin	recorrer
por	prp	por
desequilíbrio	n	desequilíbrio
de	prp	de
a	art	o
marcha	n	marcha
com	prp	com
9	num	9
meses	n	mÃªs
de	prp	de
evolução	n	evolução
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
:	punc	:
hipopalestesia	n	hipopalestesia
e	conj-c	e
alteração	n	alteração
de	prp	de
o	art	o
sentido	n	sentido
posicional	adj	posicional
de	prp	de
as	art	o
extremidades	n	extremidade
de	prp	de
os	art	o
MI	n	mi
,	punc	,
ataxia	n	ataxia
de	prp	de
a	art	o
marcha	n	marcha
e	conj-c	e
arreflexia	n	arreflexia
generalizada	v-pcp	generalizar
.	punc	.
EMG	prop	emg
:	punc	:
polineuropatia	n	polineuropatia
desmielinizante	adj	desmielinizante
sensitivo-	v-fin	sensitivar-
motora	n	motora
distal	adj	distal
.	punc	.
Ausência	n	ausência
de	prp	de
proteína	n	proteína
M	prop	m
e	conj-c	e
anticorpos	n	anticorpo
antineuronais	adj	antineuronal
.	punc	.
Boa	adj	bom
resposta	n	resposta
a	prp	a
a	art	o
IG	prop	ig
EV	prop	ev
(	punc	(
0.4	num	0.4
g	n	g
/	punc	/
kg	n	kg
/	punc	/
dia	n	dia
3	num	3
dias	n	dia
,	punc	,
e	conj-c	e
pulso	n	pulso
mensal	adj	mensal
,	punc	,
6	num	6
meses	n	mÃªs
)	punc	)
.	punc	.
