Doente	adv	doente
sexo	n	sexo
masculino	adj	masculino
,	punc	,
75	num	75
anos	n	ano
,	punc	,
quadro	n	quadro
de	prp	de
desequilíbrio	n	desequilíbrio
sem	prp	sem
vertigem	n	vertigem
com	prp	com
7	num	7
anos	n	ano
de	prp	de
evolução	n	evolução
.	punc	.
A	art	o
O	art	o
exame	n	exame
apresentava	v-fin	apresentar
decomposição	n	decomposição
de	prp	de
a	art	o
perseguição	n	perseguição
,	punc	,
ataxia	n	ataxia
de	prp	de
os	art	o
membros	n	membro
e	conj-c	e
de	prp	de
a	art	o
marcha	n	marcha
,	punc	,
rigidez	n	rigidez
assimétrica	adj	assimétrica
de	prp	de
predomínio	n	predomínio
esquerdo	adj	esquerdo
e	conj-c	e
hipotensão	n	hipotensão
postural	adj	postural
.	punc	.
Em	prp	em
As	art	o
manobras	n	manobra
posicionais	adj	posicional
vestibulares	n	vestibular
detectado	v-pcp	detectar
nistagmo	punc	nistagmo
"	punc	"
downbeat	n	downbeat
"	punc	"
inesgotável	adj	inesgotável
sem	prp	sem
vertigem	n	vertigem
em	prp	em
a	art	o
posição	n	posição
de	prp	de
decúbito	n	decúbito
dorsal	adj	dorsal
.	punc	.
A	art	o
RM	prop	rm
CE	prop	ce
revelou	v-fin	revelar
atrofia	n	atrofia
cerebelosa	adj	cerebelosa
e	conj-c	e
"	punc	"
sinal	n	sinal
de	prp	de
a	art	o
cruz	n	cruz
"	punc	"
.	punc	.
Foi	v-fin	ser
assumido	v-pcp	assumir
um	art	um
diagnóstico	n	diagnóstico
provável	adj	provável
de	prp	de
Atrofia	n	atrofia
Multissistémica	v-fin	multissistémiquir>
.	punc	.
