Homem	prop	homem
,	punc	,
38	num	38
anos	n	ano
,	punc	,
alcoólico	n	alcoólico
.	punc	.
Dia	prop	dia
(	punc	(
D	prop	d
)	punc	)
1	num	1
:	punc	:
Admitido	n	admitido
por	prp	por
síncope	n	síncope
,	punc	,
afasia	v-fin	afaser
global	adj	global
e	conj-c	e
hemiparésia	adj	hemiparésia
direita	n	direita
de	prp	de
inicio	n	inicio
súbito	adj	súbito
.	punc	.
TAC-CE	prop	tac-ce
,	punc	,
RNM-CE	prop	rnm-ce
,	punc	,
DTC	prop	dtc
e	conj-c	e
ecocardiograma	n	ecocardiograma
sem	prp	sem
alterações	n	alteração
.	punc	.
D2	prop	d2
:	punc	:
regressão	n	regressão
de	prp	de
a	art	o
hemiparésia	n	hemiparésia
,	punc	,
melhoria	n	melhoria
de	prp	de
a	art	o
afasia	n	afasia
.	punc	.
EEG	prop	eeg
:	punc	:
actividade	n	actividade
lenta	adj	lento
de	prp	de
predomínio	n	predomínio
focal	adj	focal
fronto-temporal	n	fronto-temporal
esquerdo	adj	esquerdo
.	punc	.
LCR	prop	lcr
:	punc	:
pleiocitose	n	pleiocitose
linfocitária	adj	linfocitária
(	punc	(
120	num	120
céls	n	cél
/	punc	/
mm3	num	mm3
)	punc	)
,	punc	,
hiperproteinorráquia	n	hiperproteinorráquia
(	punc	(
1,84	num	1,84
g	n	g
/	punc	/
L	prop	l
)	punc	)
,	punc	,
hipoglicorráquia	n	hipoglicorráquia
(	punc	(
1,8	num	1,8
mmol	n	mmol
/	punc	/
L	prop	l
)	punc	)
,	punc	,
ADA	prop	ada
17	num	17
U	prop	u
/	punc	/
L.	prop	l.
Serologia	v-fin	serologer
para	prp	para
HIV	prop	hiv
e	conj-c	e
Sífilis	prop	sífilis
,	punc	,
pesquisa	n	pesquisa
de	prp	de
o	art	o
antigénio	n	antigénio
criptocóccico	adj	criptocóccico
e	conj-c	e
exame	n	exame
cultural	adj	cultural
de	prp	de
o	art	o
LCR	prop	lcr
negativos	adj	negativo
.	punc	.
D3	prop	d3
:	punc	:
DTC	prop	dtc
:	punc	:
aumento	n	aumento
marcado	v-pcp	marcar
de	prp	de
a	art	o
velocidade	n	velocidade
de	prp	de
fluxo	n	fluxo
(	punc	(
VF	prop	vf
)	punc	)
em	prp	em
a	art	o
Artéria	prop	artéria
Cerebral	adj	cerebral
Média	prop	média
(	punc	(
ACM	prop	acm
)	punc	)
esquerda	adj	esquerdo
.	punc	.
Inicio	v-pcp	iniciar
de	prp	de
anti-bacilares	n	anti-bacilar
.	punc	.
D7	prop	d7
:	punc	:
sonolento	n	sonolento
,	punc	,
hemiparésia	n	hemiparésia
esquerda	adj	esquerdo
.	punc	.
TAC-CE	prop	tac-ce
:	punc	:
hidrocefalia	n	hidrocefalia
activa	adj	activo
.	punc	.
Colocação	prop	colocação
de	prp	de
derivação	n	derivação
ventricular	adj	ventricular
externa	adj	externo
(	punc	(
DVE	prop	dve
)	punc	)
.	punc	.
DTC	prop	dtc
:	punc	:
aumento	n	aumento
significativo	adj	significativo
de	prp	de
as	art	o
VF	prop	vf
de	prp	de
ambas	pron-det	ambos
as	art	o
ACMs	prop	acms
e	conj-c	e
AC	prop	ac
Anteriores	prop	anteriores
.	punc	.
D10-12	prop	d10-12
:	punc	:
parésia	n	parésia
facial	adj	facial
esquerda	adj	esquerdo
residual	adj	residual
,	punc	,
parésia	n	parésia
de	prp	de
o	art	o
VI	n	vi
par	prp	par
esquerdo	n	esquerdo
,	punc	,
sem	prp	sem
hemiparésia	n	hemiparésia
.	punc	.
DTC	prop	dtc
:	punc	:
mantém	v-fin	manter
ligeiro	adj	ligeiro
aumento	n	aumento
de	prp	de
as	art	o
VF	prop	vf
.	punc	.
D14	prop	d14
:	punc	:
associação	n	associação
de	prp	de
corticoterapia	n	corticoterapia
(	punc	(
CE	prop	ce
)	punc	)
sistémica	v-fin	sistémiquir>
.	punc	.
D17	prop	d17
:	punc	:
melhoria	n	melhoria
de	prp	de
a	art	o
oftalmoparésia	n	oftalmoparésia
e	conj-c	e
de	prp	de
a	art	o
paralisia	n	paralisia
facial	adj	facial
esquerda	adj	esquerdo
.	punc	.
Encerramento	n	encerramento
de	prp	de
a	art	o
DVE	prop	dve
.	punc	.
DTC	prop	dtc
:	punc	:
aumento	n	aumento
moderado	v-pcp	moderar
de	prp	de
a	art	o
VF	prop	vf
em	prp	em
a	art	o
ACM	prop	acm
esquerda	v-fin	esquerdar
.	punc	.
D25-28	prop	d25-28
:	punc	:
mantém	v-fin	manter
discreto	adj	discreto
quadro	n	quadro
confusional	adj	confusional
,	punc	,
sem	prp	sem
defeitos	n	defeito
focais	adj	focal
.	punc	.
RNM	prop	rnm
sem	prp	sem
lesões	n	lesão
.	punc	.
LCR	prop	lcr
:	punc	:
melhoria	n	melhoria
de	prp	de
a	art	o
pleiocitose	n	pleiocitose
linfocitária	adj	linfocitária
(	punc	(
70	num	70
céls	n	cél
/	punc	/
mm3	num	mm3
)	punc	)
,	punc	,
hiperproteinorráquia	n	hiperproteinorráquia
(	punc	(
2,4	num	2,4
g	n	g
/	punc	/
L	prop	l
)	punc	)
,	punc	,
hipoclororráquia	n	hipoclororráquia
(	punc	(
105	num	105
mEq	n	meq
/	punc	/
L	prop	l
)	punc	)
,	punc	,
glicorráquia	n	glicorráquia
normal	adj	normal
.	punc	.
Cultura	n	cultura
de	prp	de
micobactérias	n	micobactéria
em	prp	em
o	art	o
LCR	prop	lcr
e	conj-c	e
PCR	prop	pcr
para	prp	para
micobacterium	art	micobacterium
tuberculosis	n	tuberculosil
em	prp	em
curso	n	curso
.	punc	.
Inicio	prop	inicio
de	prp	de
CE	prop	ce
intratecal	adj	intratecal
.	punc	.
DTC	prop	dtc
:	punc	:
mantém	v-fin	manter
aumento	n	aumento
moderado	v-pcp	moderar
de	prp	de
a	art	o
VF	prop	vf
em	prp	em
a	art	o
ACM	prop	acm
esquerda	v-fin	esquerdar
.	punc	.
