Homem	n	homem
de	prp	de
57	num	57
anos	n	ano
com	prp	com
desequilíbrio	n	desequilíbrio
de	prp	de
a	art	o
marcha	n	marcha
de	prp	de
agravamento	n	agravamento
progressivo	adj	progressivo
desde	prp	desde
há	v-fin	haver
6	num	6
anos	n	ano
.	punc	.
Apresentava	v-fin	apresentar
alteração	n	alteração
de	prp	de
a	art	o
perseguição	n	perseguição
ocular	adj	ocular
com	prp	com
interrupções	n	interrupção
,	punc	,
discreta	v-fin	discretar
coreia	n	coreia
de	prp	de
a	art	o
face	n	face
e	conj-c	e
membros	n	membro
e	conj-c	e
marcha	n	marcha
atáxica	adj	atáxica
.	punc	.
A	art	o
RMN-CE	prop	rmn-ce
revelou	v-fin	revelar
uma	art	um
acentuação	n	acentuação
de	prp	de
o	art	o
normal	adj	normal
hipossinal	n	hipossinal
de	prp	de
o	art	o
globo	n	globo
pálido	adj	pálido
em	prp	em
sequências	n	sequência
ponderadas	v-pcp	ponderar
em	prp	em
T2	prop	t2
e	conj-c	e
hipersinal	n	hipersinal
central	adj	central
definindo	prp	definindo
o	art	o
sinal	n	sinal
de	prp	de
o	art	o
olho	n	olho
de	prp	de
tigre	n	tigre
,	punc	,
atrofia	n	atrofia
de	prp	de
o	art	o
mesencéfalo	n	mesencéfalo
,	punc	,
protuberância	n	protuberância
,	punc	,
cerebelo	n	cerebelo
e	conj-c	e
pedúnculos	n	pedúnculo
cerebelosos	adj	cerebeloso
médios	adj	médio
e	conj-c	e
superiores	adj	superior
.	punc	.
O	art	o
teste	n	teste
genético	adj	genético
identificou	v-fin	identificar
uma	art	um
expansão	n	expansão
de	prp	de
repetições	n	repetição
CAG	prop	cag
em	prp	em
um	num	um
de	prp	de
os	art	o
alelos	n	alelo
de	prp	de
o	art	o
gene	n	gene
atrofina-1	adj	atrofina-1
(	punc	(
15/60	num	15/60
)	punc	)
,	punc	,
permitindo	v-ger	permitir
o	art	o
diagnóstico	n	diagnóstico
de	prp	de
DRPLA	prop	drpla
.	punc	.
Em	prp	em
A	art	o
família	n	família
,	punc	,
salienta	v-fin	salientar
se	conj-s	se
o	art	o
pai	n	pai
de	prp	de
91	num	91
anos	n	ano
com	prp	com
declínio	n	declínio
cognitivo	adj	cognitivo
e	conj-c	e
desequilíbrio	adj	desequilíbrio
de	prp	de
a	art	o
marcha	n	marcha
progressivos	adj	progressivo
desde	prp	desde
há	v-fin	haver
10	num	10
anos	n	ano
,	punc	,
RMN-CE	prop	rmn-ce
a	prp	a
mostrar	v-inf	mostrar
igualmente	adv	igualmente
um	art	um
sinal	n	sinal
de	prp	de
o	art	o
olho	n	olho
de	prp	de
tigre	n	tigre
,	punc	,
atrofia	n	atrofia
cortico-subcortical	adj	cortico-subcortical
cerebral	adj	cerebral
e	conj-c	e
cerebelosa	adj	cerebelosa
difusa	n	difusa
e	conj-c	e
alteração	n	alteração
difusa	v-fin	difusar
de	prp	de
a	art	o
substância	n	substância
branca	adj	branco
,	punc	,
encontrando	v-ger	encontrar
se	pron-pers	se
a	prp	a
aguardar	v-inf	aguardar
o	art	o
teste	n	teste
genético	adj	genético
;	punc	;
irmã	n	irmã
de	prp	de
60	num	60
anos	n	ano
,	punc	,
assintomática	n	assintomática
,	punc	,
com	prp	com
RMNCE	prop	rmnce
a	prp	a
demonstrar	v-inf	demonstrar
sinal	n	sinal
de	prp	de
o	art	o
olho	n	olho
de	prp	de
tigre	n	tigre
,	punc	,
a	art	o
aguardar	v-inf	aguardar
também	adv	também
o	art	o
teste	n	teste
genético	adj	genético
;	punc	;
irmão	n	irmão
de	prp	de
64	num	64
anos	n	ano
com	prp	com
desequilíbrio	n	desequilíbrio
de	prp	de
a	art	o
marcha	n	marcha
e	conj-c	e
a	art	o
filha	n	filho
de	prp	de
este	pron-det	este
falecida	n	falecido
a	prp	a
os	art	o
19	num	19
anos	n	ano
com	prp	com
alterações	n	alteração
cognitivas	adj	cognitivo
,	punc	,
motoras	n	motora
e	conj-c	e
epilepsia	n	epilepsia
.	punc	.
