Doente	adv	doente
de	prp	de
46	num	46
anos	n	ano
,	punc	,
sexo	n	sexo
masculino	adj	masculino
,	punc	,
com	prp	com
antecedentes	n	antecedente
de	prp	de
HTA	prop	hta
e	conj-c	e
dislipidémia	n	dislipidémia
,	punc	,
desportista	n	desportista
.	punc	.
Realizou	v-fin	realizar
ecodoppler	v-inf	ecodoppler
carotídeo	n	carotídeo
com	prp	com
detecção	n	detecção
de	prp	de
aneurisma	n	aneurisma
de	prp	de
a	art	o
ACI	prop	aci
extracraniana	adj	extracraniana
em	prp	em
a	art	o
sequência	n	sequência
de	prp	de
estudo	n	estudo
de	prp	de
doença	n	doença
aterosclerótica	adj	aterosclerótica
.	punc	.
