Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
de	prp	de
70	num	70
anos	n	ano
,	punc	,
com	prp	com
quadro	n	quadro
de	prp	de
três	num	três
semanas	n	semana
de	prp	de
evolução	n	evolução
de	prp	de
diminuição	n	diminuição
de	prp	de
a	art	o
força	n	força
muscular	adj	muscular
em	prp	em
os	art	o
membros	n	membro
inferiores	adj	inferior
associada	v-pcp	associar
a	prp	a
sensação	n	sensação
de	prp	de
esvaziamento	n	esvaziamento
urinário	adj	urinário
incompleto	adj	incompleto
e	conj-c	e
obstipação	n	obstipação
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
apresentava	v-fin	apresentar
paraparésia	n	paraparésia
flácida	v-pcp	flácidar
com	prp	com
arreflexia	n	arreflexia
,	punc	,
hipostesia	n	hipostesia
a	prp	a
a	art	o
picada	n	picada
distal	adj	distal
a	prp	a
os	art	o
joelhos	n	joelho
e	conj-c	e
disestesias	n	disestesia
em	prp	em
os	art	o
pés	n	pé
.	punc	.
O	art	o
estudo	n	estudo
de	prp	de
o	art	o
líquido	n	líquido
céfalo-raquidiano	adj	céfalo-raquidiano
revelou	v-fin	revelar
dissociação	n	dissociação
albumino-citológica	adj	albumino-citológica
.	punc	.
Os	art	o
estudos	n	estudo
de	prp	de
condução	n	condução
nervosa	adj	nervoso
e	conj-c	e
eletromiografia	adj	eletromiografia
foram	v-fin	ser
compatíveis	adj	compatível
com	prp	com
polineuropatia	n	polineuropatia
sensitivo-motora	adj	sensitivo-motor
aguda	v-fin	agudar
de	prp	de
tipo	n	tipo
axonal	adj	axonal
.	punc	.
A	art	o
investigação	n	investigação
etiológica	adj	etiológica
identificou	v-fin	identificar
infeção	n	infeção
VIH-1e	prp	vih-1e
antigenemia	n	antigenemia
para	prp	para
citomegalovírus	n	citomegalovíru
(	punc	(
1	num	1
célula	n	célula
)	punc	)
.	punc	.
Realizou	v-fin	realizar
um	art	um
curso	n	curso
de	prp	de
imunoglobulina	n	imunoglobulina
endovenosa	adj	endovenoso
,	punc	,
valganciclovir	prop	valganciclovir
e	conj-c	e
tratamento	n	tratamento
antiretrovírico	adj	antiretrovírico
.	punc	.
