Doente	adv	doente
de	prp	de
84	num	84
anos	n	ano
,	punc	,
sexo	n	sexo
masculino	adj	masculino
,	punc	,
hipertenso	n	hipertenso
,	punc	,
recorre	v-fin	recorrer
a	prp	a
a	art	o
urgência	n	urgência
por	prp	por
3	num	3
episódios	n	episódio
transitórios	adj	transitório
de	prp	de
alterações	n	alteração
de	prp	de
a	art	o
linguagem	n	linguagem
e	conj-c	e
parestesias	n	parestesia
de	prp	de
a	art	o
mão	n	mão
direita	adj	direito
ocorridos	v-pcp	ocorrer
em	prp	em
o	art	o
espaço	n	espaço
de	prp	de
24	num	24
horas	n	hora
.	punc	.
O	art	o
exame	n	exame
neurológico	adj	neurológico
era	v-fin	ser
normal	adj	normal
e	conj-c	e
a	art	o
TACCE	prop	tacce
revelou	v-fin	revelar
um	art	um
hematoma	n	hematoma
sub-dural	adj	sub-dural
crónico	adj	crónico
fronto-parietal	n	fronto-parietal
esquerdo	adj	esquerdo
,	punc	,
com	prp	com
hemorragia	n	hemorragia
recente	adj	recente
mas	conj-c	mas
sem	prp	sem
desvios	n	desvio
de	prp	de
a	art	o
linha	n	linha
média	adj	média
.	punc	.
Internado	v-pcp	internar
para	prp	para
vigilância	n	vigilância
,	punc	,
repetiu	v-fin	repetir
o	art	o
quadro	n	quadro
uma	num	um
única	adj	única
vez	n	vez
,	punc	,
sendo	v-ger	ser
o	art	o
restante	adj	restante
estudo	n	estudo
(	punc	(
incluindo	v-ger	incluir
EEG	prop	eeg
)	punc	)
negativo	adj	negativo
.	punc	.
