Doente	adv	doente
de	prp	de
69	num	69
anos	n	ano
,	punc	,
caucasiano	n	caucasiano
,	punc	,
com	prp	com
antecedentes	n	antecedente
de	prp	de
HTA	prop	hta
,	punc	,
dislipidemia	v-fin	dislipidemer
,	punc	,
tabagismo	n	tabagismo
,	punc	,
litiase	n	litiase
renal	adj	renal
e	conj-c	e
obesidade	n	obesidade
.	punc	.
Refere	v-fin	referir
história	n	história
de	prp	de
cervicalgia	n	cervicalgia
esquerda	adj	esquerdo
despertada	v-pcp	despertar
por	prp	por
os	art	o
movimentos	n	movimento
cervicais	adj	cervical
,	punc	,
com	prp	com
vários	pron-det	vários
meses	n	mÃªs
de	prp	de
evolução	n	evolução
associada	v-pcp	associar
a	prp	a
alteração	n	alteração
de	prp	de
a	art	o
fala	n	fala
,	punc	,
sensação	n	sensação
de	prp	de
edema	n	edema
de	prp	de
a	art	o
língua	n	língua
e	conj-c	e
desvio	n	desvio
de	prp	de
a	art	o
mesma	pron-det	mesmo
para	prp	para
o	art	o
lado	n	lado
esquerdo	adj	esquerdo
,	punc	,
com	prp	com
dificuldade	n	dificuldade
a	prp	a
a	art	o
mobilização	n	mobilização
e	conj-c	e
sialorreia	n	sialorreia
.	punc	.
Apresentava	v-fin	apresentar
parésia	n	parésia
de	prp	de
a	art	o
hemilíngua	n	hemilíngua
esquerda	adj	esquerdo
com	prp	com
desvio	n	desvio
para	prp	para
a	art	o
esquerda	n	esquerda
em	prp	em
a	art	o
protusão	n	protusão
.	punc	.
Sem	prp	sem
outras	pron-det	outro
alterações	n	alteração
em	prp	em
o	art	o
exame	n	exame
neurologico	adj	neurologico
.	punc	.
RM	prop	rm
cerebral	n	cerebral
,	punc	,
sem	prp	sem
lesões	n	lesão
de	prp	de
o	art	o
parênquima	n	parênquima
cerebral	adj	cerebral
,	punc	,
Angio	prop	angio
RM	prop	rm
,	punc	,
demonstrou	v-fin	demonstrar
em	prp	em
a	art	o
região	n	região
cervical	adj	cervical
alta	adj	alto
de	prp	de
a	art	o
artéria	n	artéria
carótida	v-pcp	carótidar
interna	adj	interno
esquerda	adj	esquerdo
,	punc	,
dilatação	n	dilatação
aneurismática	adj	aneurismática
fusiforme	adj	fusiforme
e	conj-c	e
Angiografia	n	angiografia
de	prp	de
os	art	o
troncos	n	tronco
supraorticos	adj	supraortico
revelou	v-fin	revelar
dilatação	n	dilatação
aneurismatica	adj	aneurismatica
de	prp	de
o	art	o
segmento	n	segmento
C2	prop	c2
.	punc	.
