Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
,	punc	,
52	num	52
anos	n	ano
,	punc	,
recorre	v-fin	recorrer
por	prp	por
disestesias	n	disestesia
distais	adj	distal
de	prp	de
os	art	o
membros	n	membro
superiores	adj	superior
e	conj-c	e
inferiores	adj	inferior
com	prp	com
6	num	6
meses	n	mÃªs
de	prp	de
evolução	n	evolução
.	punc	.
A	art	o
O	art	o
exame	n	exame
neurológico	adj	neurológico
:	punc	:
défice	n	défice
bilateral	adj	bilateral
de	prp	de
força	n	força
muscular	adj	muscular
G4	prop	g4
a	prp	a
a	art	o
dorsiflexão	n	dorsiflexão
de	prp	de
o	art	o
pé	n	pé
,	punc	,
arreflexia	n	arreflexia
miotática	adj	miotática
e	conj-c	e
hipostesia	n	hipostesia
em	prp	em
meia	n	meia
e	conj-c	e
luva	n	luva
.	punc	.
Ausência	n	ausência
de	prp	de
paraproteinémia	n	paraproteinémia
.	punc	.
Anti	prop	anti
corpos	n	corpo
anti-GM1	adj	anti-gm1
positivos	adj	positivo
.	punc	.
EMG	prop	emg
:	punc	:
polineuropatia	n	polineuropatia
desmielinizante	adj	desmielinizante
sensitivo-motora	adj	sensitivo-motor
distal	adj	distal
.	punc	.
Boa	adj	bom
resposta	n	resposta
a	prp	a
a	art	o
IG	prop	ig
EV	prop	ev
(	punc	(
0,4	num	0,4
g	n	g
/	punc	/
kg	n	kg
/	punc	/
dia	n	dia
3	num	3
dias	n	dia
,	punc	,
e	conj-c	e
pulso	n	pulso
mensal	adj	mensal
,	punc	,
6	num	6
meses	n	mÃªs
)	punc	)
.	punc	.
