Doente	adv	doente
de	prp	de
o	art	o
sexo	n	sexo
masculino	adj	masculino
,	punc	,
de	prp	de
64	num	64
anos	n	ano
,	punc	,
com	prp	com
antecedentes	n	antecedente
de	prp	de
diabetes	n	diabetes
mellitus	adj	mellitu
,	punc	,
silicose	n	silicose
pulmonar	adj	pulmonar
crónica	adj	crónica
e	conj-c	e
linfocitopenia	n	linfocitopenia
CD4	prop	cd4
,	punc	,
internado	v-pcp	internar
por	prp	por
quadro	n	quadro
de	prp	de
cefaleias	n	cefaleia
,	punc	,
hipoacúsia	n	hipoacúsia
e	conj-c	e
parésia	n	parésia
facial	adj	facial
periférica	adj	periférica
esquerdas	n	esquerda
associadas	v-pcp	associar
a	prp	a
desequilíbrio	n	desequilíbrio
.	punc	.
A	art	o
RMN	prop	rmn
cerebral	adj	cerebral
revelou	v-fin	revelar
lesão	n	lesão
cerebelosa	adj	cerebelosa
direita	n	direita
de	prp	de
provável	adj	provável
natureza	n	natureza
linfoproliferativa	adj	linfoproliferativa
/	punc	/
granulomatosa	adj	granulomatosa
.	punc	.
Iniciou	v-fin	iniciar
corticoterapia	n	corticoterapia
empírica	adj	empírica
,	punc	,
seguindo	v-ger	seguir
se	pron-pers	se
agravamento	n	agravamento
de	prp	de
a	art	o
cefaleia	n	cefaleia
,	punc	,
epistáxis	n	epistáxil
e	conj-c	e
surgiu	v-fin	surgir
uma	art	um
lesão	n	lesão
ulcerada	v-pcp	ulceradar
de	prp	de
o	art	o
palato	n	palato
com	prp	com
quedas	n	queda
dentárias	adj	dentária
.	punc	.
Repetiu	v-fin	repetir
RMN	prop	rmn
,	punc	,
observando	v-ger	observar
se	pron-pers	se
sinusite	v-fin	sinusitar
complicada	v-pcp	complicar
de	prp	de
cerebrite	n	cerebrite
e	conj-c	e
inflamação	n	inflamação
bilateral	adj	bilateral
de	prp	de
as	art	o
cavidades	n	cavidade
orbitarias	adj	orbitaria
.	punc	.
A	art	o
histologia	n	histologia
de	prp	de
a	art	o
lesão	n	lesão
palatina	adj	palatino
confirmou	v-fin	confirmar
tratar	v-inf	tratar
se	pron-pers	se
de	prp	de
mucormicose	n	mucormicose
.	punc	.
Foi	v-fin	ser
submetido	v-pcp	submeter
a	prp	a
cirurgia	n	cirurgia
e	conj-c	e
iniciou	v-fin	iniciar
anfotericina	n	anfotericina
B.	punc	b.
Em	prp	em
Os	art	o
vinte	num	vinte
dias	n	dia
seguintes	adj	seguinte
,	punc	,
verificou	v-fin	verificar
se	pron-pers	se
agravamento	n	agravamento
de	prp	de
o	art	o
estado	n	estado
clínico	adj	clínico
,	punc	,
com	prp	com
afundamento	n	afundamento
progressivo	adj	progressivo
de	prp	de
o	art	o
estado	n	estado
de	prp	de
consciência	n	consciência
,	punc	,
acabando	v-ger	acabar
por	prp	por
falecer	v-inf	falecer
.	punc	.
